DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,DayOfWeek,Month,IsWeekend
2005-01-01 00:00:00,1.6,1046.0,106.0,4.2,724.0,215.0,848.0,106.0,898.0,1201.0,8.2,40.1,0.4375,0,Saturday,January,True
2005-01-01 01:00:00,1.6,1275.0,106.0,8.8,930.0,215.0,649.0,106.0,1024.0,1617.0,5.3,50.7,0.4564,1,Saturday,January,True
2005-01-01 02:00:00,2.5,1173.0,106.0,7.5,878.0,300.0,738.0,129.0,1002.0,1355.0,5.9,50.0,0.4689,2,Saturday,January,True
2005-01-01 03:00:00,2.7,1163.0,106.0,7.6,881.0,300.0,748.0,129.0,1001.0,1296.0,4.9,53.9,0.4693,3,Saturday,January,True
2005-01-01 04:00:00,1.9,1054.0,106.0,5.6,791.0,253.0,830.0,126.0,967.0,1131.0,4.3,55.3,0.465,4,Saturday,January,True
2005-01-01 05:00:00,1.4,1004.0,106.0,4.8,753.0,181.0,879.0,106.0,942.0,1036.0,4.2,57.1,0.4759,5,Saturday,January,True
2005-01-01 06:00:00,1.5,1001.0,106.0,5.3,777.0,171.0,859.0,99.0,954.0,1009.0,3.5,58.3,0.4636,6,Saturday,January,True
2005-01-01 07:00:00,1.4,974.0,106.0,4.5,736.0,168.0,888.0,97.0,945.0,966.0,3.0,60.7,0.4667,7,Saturday,January,True
2005-01-01 08:00:00,1.1,915.0,106.0,3.0,653.0,169.0,973.0,94.0,905.0,901.0,2.6,63.2,0.4721,8,Saturday,January,True
2005-01-01 09:00:00,1.0,939.0,106.0,3.0,649.0,145.0,996.0,86.0,897.0,879.0,3.9,59.0,0.4807,9,Saturday,January,True
2005-01-01 10:00:00,1.2,973.0,106.0,4.7,748.0,190.0,878.0,97.0,968.0,991.0,4.7,57.2,0.4932,10,Saturday,January,True
2005-01-01 11:00:00,1.7,1011.0,106.0,5.4,782.0,225.0,846.0,113.0,992.0,1019.0,6.8,48.6,0.4822,11,Saturday,January,True
2005-01-01 12:00:00,2.3,1097.0,106.0,7.4,875.0,261.0,778.0,125.0,1080.0,1151.0,8.6,43.6,0.4887,12,Saturday,January,True
2005-01-01 13:00:00,2.2,1149.0,106.0,8.4,914.0,382.0,742.0,147.0,1072.0,1242.0,9.5,41.2,0.4908,13,Saturday,January,True
2005-01-01 14:00:00,2.4,1117.0,106.0,8.9,934.0,357.0,721.0,153.0,1075.0,1206.0,10.9,35.9,0.468,14,Saturday,January,True
2005-01-01 15:00:00,2.2,1085.0,106.0,7.9,896.0,299.0,760.0,147.0,1049.0,1138.0,12.5,32.3,0.467,15,Saturday,January,True
2005-01-01 16:00:00,2.1,1102.0,106.0,7.7,885.0,313.0,772.0,139.0,1051.0,1142.0,12.8,32.6,0.4814,16,Saturday,January,True
2005-01-01 17:00:00,3.0,1281.0,106.0,12.1,1053.0,510.0,659.0,165.0,1192.0,1438.0,10.9,39.7,0.5166,17,Saturday,January,True
2005-01-01 18:00:00,4.7,1472.0,106.0,16.6,1198.0,832.0,555.0,191.0,1344.0,1735.0,9.0,51.8,0.5961,18,Saturday,January,True
2005-01-01 19:00:00,3.6,1328.0,106.0,11.4,1029.0,622.0,637.0,172.0,1188.0,1611.0,8.1,54.1,0.5882,19,Saturday,January,True
2005-01-01 20:00:00,2.5,1198.0,106.0,7.9,897.0,402.0,720.0,151.0,1072.0,1436.0,7.8,54.6,0.5786,20,Saturday,January,True
2005-01-01 21:00:00,2.3,1176.0,106.0,8.1,905.0,334.0,718.0,137.0,1104.0,1389.0,6.2,59.6,0.5698,21,Saturday,January,True
2005-01-01 22:00:00,2.1,1118.0,106.0,6.4,830.0,295.0,765.0,130.0,1058.0,1313.0,5.7,59.9,0.5523,22,Saturday,January,True
2005-01-01 23:00:00,1.7,1091.0,106.0,5.2,773.0,222.0,820.0,115.0,1003.0,1232.0,5.6,59.7,0.5463,23,Saturday,January,True
2005-02-01 00:00:00,1.3,1038.0,106.0,4.8,756.0,200.0,813.0,146.0,921.0,1317.0,4.2,49.4,0.412,0,Tuesday,February,False
2005-02-01 01:00:00,1.1,996.0,106.0,3.8,698.0,153.0,871.0,123.0,894.0,1228.0,4.1,50.1,0.415,1,Tuesday,February,False
2005-02-01 02:00:00,1.0,995.0,106.0,3.5,680.0,135.0,879.0,109.0,904.0,1201.0,4.1,51.5,0.4263,2,Tuesday,February,False
2005-02-01 03:00:00,0.9,1000.0,106.0,3.3,670.0,135.0,868.0,109.0,917.0,1158.0,3.7,57.5,0.4621,3,Tuesday,February,False
2005-02-01 04:00:00,0.8,1042.0,106.0,3.6,688.0,196.0,814.0,115.0,935.0,1204.0,2.5,64.8,0.4807,4,Tuesday,February,False
2005-02-01 05:00:00,0.9,1042.0,106.0,3.8,701.0,208.0,795.0,114.0,945.0,1216.0,1.8,68.9,0.4878,5,Tuesday,February,False
2005-02-01 06:00:00,1.1,1024.0,106.0,4.2,724.0,241.0,814.0,122.0,944.0,1198.0,2.0,64.9,0.4661,6,Tuesday,February,False
2005-02-01 07:00:00,1.6,1147.0,106.0,7.7,886.0,417.0,702.0,149.0,1056.0,1381.0,2.2,65.3,0.473,7,Tuesday,February,False
2005-02-01 08:00:00,3.7,1496.0,106.0,20.0,1298.0,896.0,492.0,187.0,1441.0,1873.0,3.1,64.0,0.4938,8,Tuesday,February,False
2005-02-01 09:00:00,4.8,1541.0,106.0,22.1,1353.0,966.0,449.0,198.0,1492.0,2112.0,3.7,61.7,0.4967,9,Tuesday,February,False
2005-02-01 10:00:00,4.1,1491.0,106.0,17.2,1215.0,878.0,503.0,196.0,1343.0,2038.0,4.4,58.8,0.4979,10,Tuesday,February,False
2005-02-01 11:00:00,4.5,1533.0,106.0,21.4,1334.0,985.0,466.0,218.0,1434.0,2118.0,5.8,54.1,0.502,11,Tuesday,February,False
2005-02-01 12:00:00,4.5,1507.0,106.0,19.8,1292.0,1017.0,479.0,227.0,1379.0,2110.0,7.3,50.8,0.5226,12,Tuesday,February,False
2005-02-01 13:00:00,3.7,1451.0,106.0,18.8,1264.0,683.0,497.0,181.0,1408.0,1965.0,9.5,47.2,0.5589,13,Tuesday,February,False
2005-02-01 14:00:00,4.2,1432.0,106.0,18.8,1264.0,660.0,487.0,179.0,1476.0,1888.0,11.8,44.4,0.6118,14,Tuesday,February,False
2005-02-01 15:00:00,3.3,1408.0,106.0,16.7,1202.0,492.0,506.0,151.0,1411.0,1774.0,12.7,45.5,0.6648,15,Tuesday,February,False
